time,X_ref,dX_ref,D_ref
0.0,2.0,0.1,0.35
0.01,2.0,0.1,0.35
0.02,2.0,0.1,0.35
0.03,2.0,0.1,0.35
0.04,2.0,0.1,0.35
0.05,2.0,0.1,0.35
0.06,2.01,0.1,0.35
0.07,2.01,0.1,0.35
0.08,2.01,0.1,0.35
0.09,2.01,0.1,0.35
0.1,2.01,0.1,0.35
0.11,2.01,0.1,0.35
0.12,2.01,0.1,0.35
0.13,2.01,0.1,0.35
0.14,2.01,0.1,0.35
0.15,2.01,0.1,0.35
0.16,2.02,0.1,0.35
0.17,2.02,0.1,0.35
0.18,2.02,0.1,0.35
0.19,2.02,0.1,0.35
0.2,2.02,0.1,0.35
0.21,2.02,0.1,0.35
0.22,2.02,0.1,0.35
0.23,2.02,0.1,0.35
0.24,2.02,0.1,0.35
0.25,2.02,0.1,0.35
0.26,2.03,0.1,0.35
0.27,2.03,0.1,0.35
0.28,2.03,0.1,0.35
0.29,2.03,0.1,0.35
0.3,2.03,0.1,0.35
0.31,2.03,0.1,0.35
0.32,2.03,0.1,0.35
0.33,2.03,0.1,0.35
0.34,2.03,0.1,0.35
0.35,2.03,0.1,0.35
0.36,2.04,0.1,0.35
0.37,2.04,0.1,0.35
0.38,2.04,0.1,0.35
0.39,2.04,0.1,0.35
0.4,2.04,0.1,0.35
0.41,2.04,0.1,0.35
0.42,2.04,0.1,0.35
0.43,2.04,0.1,0.35
0.44,2.04,0.1,0.35
0.45,2.04,0.1,0.35
0.46,2.05,0.1,0.35
0.47,2.05,0.1,0.35
0.48,2.05,0.1,0.35
0.49,2.05,0.1,0.35
0.5,2.05,0.1,0.35
0.51,2.05,0.1,0.35
0.52,2.05,0.1,0.35
0.53,2.05,0.1,0.35
0.54,2.05,0.1,0.35
0.55,2.05,0.1,0.35
0.56,2.06,0.1,0.35
0.57,2.06,0.1,0.35
0.58,2.06,0.1,0.35
0.59,2.06,0.1,0.35
0.6,2.06,0.1,0.35
0.61,2.06,0.1,0.35
0.62,2.06,0.1,0.35
0.63,2.06,0.1,0.35
0.64,2.06,0.1,0.35
0.65,2.06,0.1,0.35
0.66,2.07,0.1,0.35
0.67,2.07,0.1,0.35
0.68,2.07,0.1,0.35
0.69,2.07,0.1,0.35
0.7,2.07,0.1,0.35
0.71,2.07,0.1,0.35
0.72,2.07,0.1,0.35
0.73,2.07,0.1,0.35
0.74,2.07,0.1,0.35
0.75,2.07,0.1,0.35
0.76,2.08,0.1,0.35
0.77,2.08,0.1,0.35
0.78,2.08,0.1,0.35
0.79,2.08,0.1,0.35
0.8,2.08,0.1,0.35
0.81,2.08,0.1,0.35
0.82,2.08,0.1,0.35
0.83,2.08,0.1,0.35
0.84,2.08,0.1,0.35
0.85,2.08,0.1,0.35
0.86,2.09,0.1,0.35
0.87,2.09,0.1,0.35
0.88,2.09,0.1,0.35
0.89,2.09,0.1,0.35
0.9,2.09,0.1,0.35
0.91,2.09,0.1,0.35
0.92,2.09,0.1,0.35
0.93,2.09,0.1,0.35
0.94,2.09,0.1,0.35
0.95,2.09,0.1,0.35
0.96,2.1,0.1,0.35
0.97,2.1,0.1,0.35
0.98,2.1,0.1,0.35
0.99,2.1,0.1,0.35
1.0,2.1,0.1,0.35
1.01,2.1,0.1,0.35
1.02,2.1,0.1,0.35
1.03,2.1,0.1,0.35
1.04,2.1,0.1,0.35
1.05,2.1,0.1,0.35
1.06,2.11,0.1,0.35
1.07,2.11,0.1,0.35
1.08,2.11,0.1,0.35
1.09,2.11,0.1,0.35
1.1,2.11,0.1,0.35
1.11,2.11,0.1,0.35
1.12,2.11,0.1,0.35
1.13,2.11,0.1,0.35
1.14,2.11,0.1,0.35
1.15,2.11,0.1,0.35
1.16,2.11,0.1,0.35
1.17,2.12,0.1,0.35
1.18,2.12,0.1,0.35
1.19,2.12,0.1,0.35
1.2,2.12,0.1,0.35
1.21,2.12,0.1,0.35
1.22,2.12,0.1,0.35
1.23,2.12,0.1,0.35
1.24,2.12,0.1,0.35
1.25,2.12,0.1,0.35
1.26,2.12,0.1,0.35
1.27,2.13,0.1,0.35
1.28,2.13,0.1,0.35
1.29,2.13,0.1,0.35
1.3,2.13,0.1,0.35
1.31,2.13,0.1,0.35
1.32,2.13,0.1,0.35
1.33,2.13,0.1,0.35
1.34,2.13,0.1,0.35
1.35,2.13,0.1,0.35
1.36,2.13,0.1,0.35
1.37,2.14,0.1,0.35
1.38,2.14,0.1,0.35
1.39,2.14,0.1,0.35
1.4,2.14,0.1,0.35
1.41,2.14,0.1,0.35
1.42,2.14,0.1,0.35
1.43,2.14,0.1,0.35
